Run,ENA-BASE-COUNT,ENA-CHECKLIST,ENA-FIRST-PUBLIC,ENA-LAST-UPDATE,ENA-SPOT-COUNT,PANGAEA Event label,PANGAEA Sample label,Read depth,Sample,collection date,collection_date,environment (biome),environment (feature),environment (material),environmental package,geographic location,geographic location (country and/or sea),geographic location (depth),geographic location (elevation),geographic location (latitude),geographic location (longitude),host-associated environmental package,investigation type,project name,sediment environmental package,sequencing method,submitted to insdc,total depth of water column,water environmental package
ERR2172204,278787000,ERC000024,2018-06-11,2018-04-13,464645,PS80/349-1,PS80/349_ICES-3,,ERS1972778,2012-09-18,,oceanic epipelagic zone biome [ENVO:01000035]|polar biome [ENVO_01000339],melt pond [ENVO:03000040],algal material [ENVO:01001189],water,Central Arctic Ocean/Eurasian basin,Arctic Ocean,0,,87.9335,61.21733,,mimarks-survey,ABYSS,,Illumina MiSeq,true,,water
ERR2172205,160561200,ERC000024,2018-06-11,2018-04-13,267602,PS80/349-1,PS80/349_ICES-3,,ERS1972779,2012-09-18,,oceanic epipelagic zone biome [ENVO:01000035]|polar biome [ENVO_01000339],melt pond [ENVO:03000040],algal material [ENVO:01001189],water,Central Arctic Ocean/Eurasian basin,Arctic Ocean,0,,87.9335,61.21733,,mimarks-survey,ABYSS,,Illumina MiSeq,true,,water
ERR2172206,284120400,ERC000024,2018-06-11,2018-04-13,473534,PS80/349-1,PS80/349_ICES-3,,ERS1972780,2012-09-18,,oceanic epipelagic zone biome [ENVO:01000035]|polar biome [ENVO_01000339],melt pond [ENVO:03000040],algal material [ENVO:01001189],water,Central Arctic Ocean/Eurasian basin,Arctic Ocean,0,,87.9335,61.21733,,mimarks-survey,ABYSS,,Illumina MiSeq,true,,water
ERR2172207,82832400,ERC000024,2018-06-11,2018-04-13,138054,PS80/349-1,PS80/349_CTD-2,,ERS1972781,2012-09-18,,oceanic epipelagic zone biome [ENVO:01000035]|polar biome [ENVO_01000339],"marine wind mixed layer [ENVO:01000061]|marine photic zone [ENVO:00000209]|water
                    surface[ENVO:01001191]",sea water [ENVO:00002149],water,Central Arctic Ocean/Eurasian basin,Arctic Ocean,1,,87.9335,61.21733,,mimarks-survey,ABYSS,,Illumina MiSeq,true,,water
ERR2172208,161821800,ERC000021,2018-06-11,2018-04-13,269703,PS80/350-1,,4381.0,ERS1972782,2012-09-18,,marine abyssal zone biome [ENVO:01000027]|polar biome [ENVO_01000339],abyssal plain [ENVO:00000244]|sediment surface [ENVO:01001192],deep marine sediment [ENVO:00002113],sediment,Central Arctic Ocean/Eurasian basin,Arctic Ocean,0-0.01,0,87.93338,61.16958,,mimarks-survey,ABYSS,sediment,Illumina MiSeq,true,4381,
ERR2172209,139958400,ERC000024,2018-06-11,2018-04-13,233264,PS80/350-1,,4381.0,ERS1972783,2012-09-18,,marine abyssal zone biome [ENVO:01000027]|polar biome [ENVO_01000339],abyssal plain [ENVO:00000244],algal material [ENVO:01001189],water,Central Arctic Ocean/Eurasian basin,Arctic Ocean,4381,,87.93338,61.16958,,mimarks-survey,ABYSS,,Illumina MiSeq,true,4381,water
ERR2172210,31529400,ERC000024,2018-06-11,2018-04-13,52549,PS80/255-1,PS80/255_CORE-BAT-1,,ERS1972787,2012-08-20,,"oceanic epipelagic zone biome [ENVO:01000035]|marine pelagic biome [ENVO:01000023]|polar biome
                    [ENVO_01000339]",sea ice floe [ENVO:03000066],sea ice [ENVO:00002200],water,Central Arctic Ocean/Eurasian basin,Arctic Ocean,0,,82.67067,109.5895,,mimarks-survey,ABYSS,,Illumina MiSeq,true,,water
ERR2172211,109946400,ERC000024,2018-06-11,2018-04-13,183244,PS80/349-1,PS80/349_CORE-BAT-1,,ERS1972788,2012-09-18,,"oceanic epipelagic zone biome [ENVO:01000035]|marine pelagic biome [ENVO:01000023]|polar biome
                    [ENVO_01000339]",sea ice floe [ENVO:03000066],sea ice [ENVO:00002200],water,Central Arctic Ocean/Eurasian basin,Arctic Ocean,0,,87.9335,61.21733,,mimarks-survey,ABYSS,,Illumina MiSeq,true,,water
ERR2172212,107451600,ERC000011,2018-06-11,2018-04-13,179086,PS80/359-1,,4380.0,ERS1972789,,2012-09-19,marine abyssal zone biome [ENVO:01000027]|polar biome [ENVO_01000339],abyssal plain [ENVO:00000244],holothurian digestive tract contents [ENVO:01001188],host-associated,Central Arctic Ocean/Eurasian basin,Arctic Ocean,,,87.89217,59.38867,host-associated,mimarks-survey,ABYSS,,Illumina MiSeq,true,4380,
ERR2172213,121816200,ERC000024,2018-06-11,2018-04-13,203027,PS80/349-1,PS80/349_CORE-BAT-1,,ERS1972790,2012-09-18,,"oceanic epipelagic zone biome [ENVO:01000035]|marine pelagic biome [ENVO:01000023]|polar biome
                    [ENVO_01000339]",sea ice floe [ENVO:03000066],sea ice [ENVO:00002200],water,Central Arctic Ocean/Eurasian basin,Arctic Ocean,0,,87.9335,61.21733,,mimarks-survey,ABYSS,,Illumina MiSeq,true,,water
ERR2172214,81927600,ERC000024,2018-06-11,2018-04-13,136546,PS80/361-1,,4373.0,ERS1972794,2012-09-22,,marine abyssal zone biome [ENVO:01000027]|polar biome [ENVO_01000339],abyssal plain [ENVO:00000244],algal material [ENVO:01001189],water,Central Arctic Ocean/Eurasian basin,Arctic Ocean,4373,,88.82675,58.62752,,mimarks-survey,ABYSS,,Illumina MiSeq,true,4373,water
ERR2172215,46291800,ERC000024,2018-06-11,2018-04-13,77153,PS80/363-1,,4375.0,ERS1972795,2012-09-22,,marine abyssal zone biome [ENVO:01000027]|polar biome [ENVO_01000339],abyssal plain [ENVO:00000244],algal material [ENVO:01001189],water,Central Arctic Ocean/Eurasian basin,Arctic Ocean,4375,,88.81453,57.73835,,mimarks-survey,ABYSS,,Illumina MiSeq,true,4375,water
ERR2172216,146990400,ERC000024,2018-06-11,2018-04-13,244984,PS80/349-1,PS80/349_ICES-4,,ERS1972744,2012-09-18,,oceanic epipelagic zone biome [ENVO:01000035]|polar biome [ENVO_01000339],sea ice floe [ENVO:03000066],brownish colored sea ice [ENVO:01001190],water,Central Arctic Ocean/Eurasian basin,Arctic Ocean,0,,87.9335,61.21733,,mimarks-survey,ABYSS,,Illumina MiSeq,true,,water
ERR2172217,435210000,ERC000024,2018-06-11,2018-04-13,725350,PS80/360-1,PS80/360_ICES-1,,ERS1972745,2012-09-22,,oceanic epipelagic zone biome [ENVO:01000035]|polar biome [ENVO_01000339],sea ice floe [ENVO:03000066],brownish colored sea ice [ENVO:01001190],water,Central Arctic Ocean/Eurasian basin,Arctic Ocean,0,,88.82767,58.8635,,mimarks-survey,ABYSS,,Illumina MiSeq,true,,water
ERR2172218,53442000,ERC000024,2018-06-11,2018-04-13,89070,PS80/255-1,PS80/255_CORE-BAT-1,,ERS1972801,2012-08-20,,"oceanic epipelagic zone biome [ENVO:01000035]|marine pelagic biome [ENVO:01000023]|polar biome
                    [ENVO_01000339]",sea ice floe [ENVO:03000066],sea ice [ENVO:00002200],water,Central Arctic Ocean/Eurasian basin,Arctic Ocean,0,,82.67067,109.5895,,mimarks-survey,ABYSS,,Illumina MiSeq,true,,water
ERR2172219,175331400,ERC000024,2018-06-11,2018-04-13,292219,PS80/277-1,PS80/277_CORE-BAT-1,,ERS1972752,2012-08-25,,"oceanic epipelagic zone biome [ENVO:01000035]|marine pelagic biome [ENVO:01000023]|polar biome
                    [ENVO_01000339]",sea ice floe [ENVO:03000066],sea ice [ENVO:00002200],water,Central Arctic Ocean/Eurasian basin,Arctic Ocean,0,,82.8825,130.1295,,mimarks-survey,ABYSS,,Illumina MiSeq,true,,water
ERR2172220,207582000,ERC000024,2018-06-11,2018-04-13,345970,PS80/323-1,PS80/323_CORE-BAT-1,,ERS1972753,2012-09-04,,"oceanic epipelagic zone biome [ENVO:01000035]|marine pelagic biome [ENVO:01000023]|polar biome
                    [ENVO_01000339]",sea ice floe [ENVO:03000066],sea ice [ENVO:00002200],water,Central Arctic Ocean/Eurasian basin,Arctic Ocean,0,,81.9255,131.12867,,mimarks-survey,ABYSS,,Illumina MiSeq,true,,water
ERR2172221,54260400,ERC000024,2018-06-11,2018-04-13,90434,PS80/225-1,,4019.0,ERS1972804,2012-08-09,,marine abyssal zone biome [ENVO:01000027]|polar biome [ENVO_01000339],abyssal plain [ENVO:00000244]|sediment surface [ENVO:01001192],deep marine sediment [ENVO:00002113],water,Central Arctic Ocean/Eurasian basin,Arctic Ocean,0-0.01,,84.04732,31.19263,,mimarks-survey,ABYSS,,Illumina MiSeq,true,4019,water
ERR2172222,77265802,ERC000024,2018-06-11,2018-04-13,128754,PS80/360-1,PS80/360_CORE-BAT-1,,ERS1972756,2012-09-22,,"oceanic epipelagic zone biome [ENVO:01000035]|marine pelagic biome [ENVO:01000023]|polar biome
                    [ENVO_01000339]",sea ice floe [ENVO:03000066],sea ice [ENVO:00002200],water,Central Arctic Ocean/Eurasian basin,Arctic Ocean,0,,88.82767,58.8635,,mimarks-survey,ABYSS,,Illumina MiSeq,true,,water
ERR2172223,249678000,ERC000024,2018-06-11,2018-04-13,416130,PS80/224-1,PS80/224_CORE-BAT-1,,ERS1972757,2012-08-09,,"oceanic epipelagic zone biome [ENVO:01000035]|marine pelagic biome [ENVO:01000023]|polar biome
                    [ENVO_01000339]",sea ice floe [ENVO:03000066],sea ice [ENVO:00002200],water,Central Arctic Ocean/Eurasian basin,Arctic Ocean,0,,84.0505,31.11383,,mimarks-survey,ABYSS,,Illumina MiSeq,true,,water
ERR2172224,31987800,ERC000024,2018-06-11,2018-04-13,53313,PS80/225-1,,4019.0,ERS1972808,2012-08-09,,marine abyssal zone biome [ENVO:01000027]|polar biome [ENVO_01000339],abyssal plain [ENVO:00000244]|sediment surface [ENVO:01001192],deep marine sediment [ENVO:00002113],water,Central Arctic Ocean/Eurasian basin,Arctic Ocean,0-0.01,,84.04732,31.19263,,mimarks-survey,ABYSS,,Illumina MiSeq,true,4019,water
ERR2172225,143468440,ERC000024,2018-06-11,2018-04-13,239059,PS80/237-1,PS80/237_CORE-BAT-1,,ERS1972761,2012-08-14,,"oceanic epipelagic zone biome [ENVO:01000035]|marine pelagic biome [ENVO:01000023]|polar biome
                    [ENVO_01000339]",sea ice floe [ENVO:03000066],sea ice [ENVO:00002200],water,Central Arctic Ocean/Eurasian basin,Arctic Ocean,0,,83.9865,78.10333,,mimarks-survey,ABYSS,,Illumina MiSeq,true,,water
ERR2172226,136980600,ERC000024,2018-06-11,2018-04-13,228301,PS80/255-1,PS80/255_CORE-BAT-1,,ERS1972762,2012-08-20,,"oceanic epipelagic zone biome [ENVO:01000035]|marine pelagic biome [ENVO:01000023]|polar biome
                    [ENVO_01000339]",sea ice floe [ENVO:03000066],sea ice [ENVO:00002200],water,Central Arctic Ocean/Eurasian basin,Arctic Ocean,0,,82.67067,109.5895,,mimarks-survey,ABYSS,,Illumina MiSeq,true,,water
ERR2172227,136289400,ERC000024,2018-06-11,2018-04-13,227149,PS80/277-1,PS80/277_CORE-BAT-1,,ERS1972763,2012-08-25,,"oceanic epipelagic zone biome [ENVO:01000035]|marine pelagic biome [ENVO:01000023]|polar biome
                    [ENVO_01000339]",sea ice floe [ENVO:03000066],sea ice [ENVO:00002200],water,Central Arctic Ocean/Eurasian basin,Arctic Ocean,0,,82.8825,130.1295,,mimarks-survey,ABYSS,,Illumina MiSeq,true,,water
ERR2172228,340980986,ERC000024,2018-06-11,2018-04-13,567905,PS80/335-1,PS80/335_CORE-BAT-1,,ERS1972764,2012-09-07,,"oceanic epipelagic zone biome [ENVO:01000035]|marine pelagic biome [ENVO:01000023]|polar biome
                    [ENVO_01000339]",sea ice floe [ENVO:03000066],sea ice [ENVO:00002200],water,Central Arctic Ocean/Eurasian basin,Arctic Ocean,0,,85.10183,122.24533,,mimarks-survey,ABYSS,,Illumina MiSeq,true,,water
ERR2172229,82951200,ERC000024,2018-06-11,2018-04-13,138252,PS80/360-1,PS80/360_CORE-BAT-1,,ERS1972765,2012-09-22,,"oceanic epipelagic zone biome [ENVO:01000035]|marine pelagic biome [ENVO:01000023]|polar biome
                    [ENVO_01000339]",sea ice floe [ENVO:03000066],sea ice [ENVO:00002200],water,Central Arctic Ocean/Eurasian basin,Arctic Ocean,0,,88.82767,58.8635,,mimarks-survey,ABYSS,,Illumina MiSeq,true,,water
ERR2172230,247686600,ERC000024,2018-06-11,2018-04-13,412811,PS80/224-1,PS80/224_HP-2_MPA,,ERS1972767,2012-08-09,,oceanic epipelagic zone biome [ENVO:01000035]|polar biome [ENVO_01000339],melt pond [ENVO:03000040],algal material [ENVO:01001189],water,Central Arctic Ocean/Eurasian basin,Arctic Ocean,0,,84.0505,31.11383,,mimarks-survey,ABYSS,,Illumina MiSeq,true,,water
ERR2172231,198097200,ERC000024,2018-06-11,2018-04-13,330162,PS80/224-1,PS80/224_HP-2_MP,,ERS1972768,2012-08-09,,oceanic epipelagic zone biome [ENVO:01000035]|polar biome [ENVO_01000339],melt pond [ENVO:03000040],sea water [ENVO:00002149],water,Central Arctic Ocean/Eurasian basin,Arctic Ocean,0,,84.0505,31.11383,,mimarks-survey,ABYSS,,Illumina MiSeq,true,,water
ERR2172232,148462800,ERC000024,2018-06-11,2018-04-13,247438,PS80/224-1,PS80/224_HP-3_MP,,ERS1972769,2012-08-09,,oceanic epipelagic zone biome [ENVO:01000035]|polar biome [ENVO_01000339],melt pond [ENVO:03000040],sea water [ENVO:00002149],water,Central Arctic Ocean/Eurasian basin,Arctic Ocean,0,,84.0505,31.11383,,mimarks-survey,ABYSS,,Illumina MiSeq,true,,water
ERR2172233,146729562,ERC000024,2018-06-11,2018-04-13,244475,PS80/384-1,PS80/384_ICES-4,,ERS1972770,2012-09-28,,oceanic epipelagic zone biome [ENVO:01000035]|polar biome [ENVO_01000339],sea ice floe [ENVO:03000066],sea ice [ENVO:00002200],water,Central Arctic Ocean/Eurasian basin,Arctic Ocean,0,,84.37483,17.45367,,mimarks-survey,ABYSS,,Illumina MiSeq,true,,water
ERR2172234,154264200,ERC000024,2018-06-11,2018-04-13,257107,PS80/245-1,,,ERS1972771,2012-08-16,,oceanic epipelagic zone biome [ENVO:01000035]|polar biome [ENVO_01000339],"marine wind mixed layer [ENVO:01000061]|marine photic zone [ENVO:00000209]|water
                    surface[ENVO:01001191]",sea water [ENVO:00002149],water,Central Arctic Ocean/Eurasian basin,Arctic Ocean,2,,83.919,75.9815,,mimarks-survey,ABYSS,,Illumina MiSeq,true,,water
ERR2172235,85280400,ERC000024,2018-06-11,2018-04-13,142134,PS80/224-1,PS80/224_CTD-2,,ERS1972772,2012-08-09,,oceanic epipelagic zone biome [ENVO:01000035]|polar biome [ENVO_01000339],"marine wind mixed layer [ENVO:01000061]|marine photic zone [ENVO:00000209]|water
                    surface[ENVO:01001191]",sea water [ENVO:00002149],water,Central Arctic Ocean/Eurasian basin,Arctic Ocean,1,,84.0505,31.11383,,mimarks-survey,ABYSS,,Illumina MiSeq,true,,water
ERR2172236,121899000,ERC000024,2018-06-11,2018-04-13,203165,PS80/255-1,PS80/255_CTD-2,,ERS1972773,2012-08-20,,oceanic epipelagic zone biome [ENVO:01000035]|polar biome [ENVO_01000339],"marine wind mixed layer [ENVO:01000061]|marine photic zone [ENVO:00000209]|water
                    surface[ENVO:01001191]",sea water [ENVO:00002149],water,Central Arctic Ocean/Eurasian basin,Arctic Ocean,1,,82.67067,109.5895,,mimarks-survey,ABYSS,,Illumina MiSeq,true,,water
ERR2172237,252770400,ERC000024,2018-06-11,2018-04-13,421284,PS80/277-1,PS80/277_CTD-2,,ERS1972774,2012-08-25,,oceanic epipelagic zone biome [ENVO:01000035]|polar biome [ENVO_01000339],"marine wind mixed layer [ENVO:01000061]|marine photic zone [ENVO:00000209]|water
                    surface[ENVO:01001191]",sea water [ENVO:00002149],water,Central Arctic Ocean/Eurasian basin,Arctic Ocean,1,,82.8825,130.1295,,mimarks-survey,ABYSS,,Illumina MiSeq,true,,water
ERR2172238,294958800,ERC000024,2018-06-11,2018-04-13,491598,PS80/360-1,PS80/360_CTD-2,,ERS1972776,2012-09-22,,oceanic epipelagic zone biome [ENVO:01000035]|polar biome [ENVO_01000339],"marine wind mixed layer [ENVO:01000061]|marine photic zone [ENVO:00000209]|water
                    surface[ENVO:01001191]",sea water [ENVO:00002149],water,Central Arctic Ocean/Eurasian basin,Arctic Ocean,1,,88.82767,58.8635,,mimarks-survey,ABYSS,,Illumina MiSeq,true,,water
ERR2172239,107451600,ERC000011,2018-06-11,2018-04-13,179086,PS80/359-1,,4380.0,ERS1972789,,2012-09-19,marine abyssal zone biome [ENVO:01000027]|polar biome [ENVO_01000339],abyssal plain [ENVO:00000244],holothurian digestive tract contents [ENVO:01001188],host-associated,Central Arctic Ocean/Eurasian basin,Arctic Ocean,,,87.89217,59.38867,host-associated,mimarks-survey,ABYSS,,Illumina MiSeq,true,4380,
ERR2172240,109946400,ERC000024,2018-06-11,2018-04-13,183244,PS80/349-1,PS80/349_CORE-BAT-1,,ERS1972788,2012-09-18,,"oceanic epipelagic zone biome [ENVO:01000035]|marine pelagic biome [ENVO:01000023]|polar biome
                    [ENVO_01000339]",sea ice floe [ENVO:03000066],sea ice [ENVO:00002200],water,Central Arctic Ocean/Eurasian basin,Arctic Ocean,0,,87.9335,61.21733,,mimarks-survey,ABYSS,,Illumina MiSeq,true,,water
ERR2172241,121816200,ERC000024,2018-06-11,2018-04-13,203027,PS80/349-1,PS80/349_CORE-BAT-1,,ERS1972790,2012-09-18,,"oceanic epipelagic zone biome [ENVO:01000035]|marine pelagic biome [ENVO:01000023]|polar biome
                    [ENVO_01000339]",sea ice floe [ENVO:03000066],sea ice [ENVO:00002200],water,Central Arctic Ocean/Eurasian basin,Arctic Ocean,0,,87.9335,61.21733,,mimarks-survey,ABYSS,,Illumina MiSeq,true,,water
ERR2172242,134794200,ERC000024,2018-06-11,2018-04-13,224657,PS80/349-1,PS80/349_HP-3_MP,,ERS1972777,2012-09-18,,oceanic epipelagic zone biome [ENVO:01000035]|polar biome [ENVO_01000339],melt pond [ENVO:03000040],sea water [ENVO:00002149],water,Central Arctic Ocean/Eurasian basin,Arctic Ocean,0,,87.9335,61.21733,,mimarks-survey,ABYSS,,Illumina MiSeq,true,,water
ERR2172243,111313800,ERC000024,2018-06-11,2018-04-13,185523,PS80/349-1,PS80/349_ICES-3,,ERS1972791,2012-09-18,,oceanic epipelagic zone biome [ENVO:01000035]|polar biome [ENVO_01000339],melt pond [ENVO:03000040],algal material [ENVO:01001189],water,Central Arctic Ocean/Eurasian basin,Arctic Ocean,0,,87.9335,61.21733,,mimarks-survey,ABYSS,,Illumina MiSeq,true,,water
ERR2172244,82832400,ERC000024,2018-06-11,2018-04-13,138054,PS80/349-1,PS80/349_CTD-2,,ERS1972781,2012-09-18,,oceanic epipelagic zone biome [ENVO:01000035]|polar biome [ENVO_01000339],"marine wind mixed layer [ENVO:01000061]|marine photic zone [ENVO:00000209]|water
                    surface[ENVO:01001191]",sea water [ENVO:00002149],water,Central Arctic Ocean/Eurasian basin,Arctic Ocean,1,,87.9335,61.21733,,mimarks-survey,ABYSS,,Illumina MiSeq,true,,water
ERR2172245,40858800,ERC000024,2018-06-11,2018-04-13,68098,PS80/350-1,,4381.0,ERS1972831,2012-09-18,,marine abyssal zone biome [ENVO:01000027]|polar biome [ENVO_01000339],abyssal plain [ENVO:00000244],algal material [ENVO:01001189],water,Central Arctic Ocean/Eurasian basin,Arctic Ocean,4381,,87.93338,61.16958,,mimarks-survey,ABYSS,,Illumina MiSeq,true,4381,water
ERR2172246,97455658,ERC000011,2018-06-11,2018-04-13,162378,PS80/359-1,,4380.0,ERS1972785,,2012-09-19,marine abyssal zone biome [ENVO:01000027]|polar biome [ENVO_01000339],abyssal plain [ENVO:00000244],holothurian digestive tract contents [ENVO:01001188],host-associated,Central Arctic Ocean/Eurasian basin,Arctic Ocean,,,87.89217,59.38867,host-associated,mimarks-survey,ABYSS,,Illumina MiSeq,true,4380,
ERR2172247,28107600,ERC000024,2018-06-11,2018-04-13,46846,PS80/361-1,,4373.0,ERS1972834,2012-09-22,,marine abyssal zone biome [ENVO:01000027]|polar biome [ENVO_01000339],abyssal plain [ENVO:00000244],algal material [ENVO:01001189],water,Central Arctic Ocean/Eurasian basin,Arctic Ocean,4373,,88.82675,58.62752,,mimarks-survey,ABYSS,,Illumina MiSeq,true,4373,water
ERR2172248,119160740,ERC000024,2018-06-11,2018-04-13,198571,PS80/361-1,,4373.0,ERS1972786,2012-09-22,,marine abyssal zone biome [ENVO:01000027]|polar biome [ENVO_01000339],abyssal plain [ENVO:00000244],algal material [ENVO:01001189],water,Central Arctic Ocean/Eurasian basin,Arctic Ocean,4373,,88.82675,58.62752,,mimarks-survey,ABYSS,,Illumina MiSeq,true,4373,water
ERR2172249,81927600,ERC000024,2018-06-11,2018-04-13,136546,PS80/361-1,,4373.0,ERS1972794,2012-09-22,,marine abyssal zone biome [ENVO:01000027]|polar biome [ENVO_01000339],abyssal plain [ENVO:00000244],algal material [ENVO:01001189],water,Central Arctic Ocean/Eurasian basin,Arctic Ocean,4373,,88.82675,58.62752,,mimarks-survey,ABYSS,,Illumina MiSeq,true,4373,water
ERR2172250,33501600,ERC000024,2018-06-11,2018-04-13,55836,PS80/368-1,,4374.0,ERS1972837,2012-09-23,,marine abyssal zone biome [ENVO:01000027]|polar biome [ENVO_01000339],abyssal plain [ENVO:00000244],algal material [ENVO:01001189],water,Central Arctic Ocean/Eurasian basin,Arctic Ocean,4374,,88.7865,56.372,,mimarks-survey,ABYSS,,Illumina MiSeq,true,4374,water
